tweet_text,cyberbullying_type
@ch4itea @fuck_sam_ i def dont want ur nasty ass nigger vagina like at all ur a dumb bitch gtfo,ethnicity
"You wear camo overalls with no shoes, fuck your sister, and eat raw deer meat... RT @Walken4GOP: Niggers are dumb.",ethnicity
"@supadupasai I live in Seattle born in MO We R progressive here but my hick dumb fuck relatives in MO still refer to parts as ""nigger town""",ethnicity
"Process of illumination, Nimrod, was a Hammite a so called African, it says you are of your father’s seed, not your mother, it says, hair as white as WOOL, some negro’s have white fathers, they are Not Negro, they are white men seed. We know of our enemies.",ethnicity
"Black ugly bitches are jealous of sexy white girls. Black bitches know black guys love sex with white girls more than sex with black ugly hoes. Dont be jealous niggers, sex with black hoes is disgusting. Feel like punching black hoes in their fat lip faces",ethnicity
A Novel about a Colored Lieutenant's Fervent Efforts to Withstand the Hostilities of Racism in the U.S. Army https://ift.tt/3c1lFkk,ethnicity
"@tayyoung_: FUCK OBAMA, dumb ass nigger You mad.? , cause aint nobody give a FUCK.! :D",ethnicity
Good luck. I’ve contacted TfL about a number of things over the past 2 years and not heard anything back. Emails go into a black hole,ethnicity
@asvp_piedrita your dumb ass fuck didn't that nigger fucked you in the ally ?,ethnicity
"I read a YouTube comment regarding Trayvon that pissed me the fuck off. Some dumb fuck wrote, ""Love seeing pics of that nigger dead.""",ethnicity
"FUCK YOU BITCH!! he got 4 more yrs, get used to it! RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicity
"ok, girl, I got you First, wear one of the small pads first then when it comes blood won't come squirting everywhere and you should tell your mom to buy pads for you That's all have fun getting ur period.",ethnicity
"Fuck that nigger music and all types of dumb shit. After that the red necks was on all drunk shit trying to fight the ""diamond gang"" cus",ethnicity
@SLUM_DOGG u calling me a bootlip is like me calling u a whiteboy. Fuck your Nigger dumb! Mmm! more Reach doritos &amp; mt dew. 23 hours left!,ethnicity
no... bitch fuck dyke bitch fuck shit nigger pussy ass blue haired bitch fuck dumb ass nigger again fuck pussy ass,ethnicity
"I am giving out 1k free airtime to the First 10 people that buy airtime from ChipperApp (Download from Playstore or Apple store) if you don't have one, then reply with a screenshot of ur airtime purchase and you will get credited with free 1000 airtime #cashbackforairtime",ethnicity
"Still considering entrenchment of racism in public space in the U.S. as I write. This statement from A Pictorial History of the Negro in America, published 1956, spotlights the depths of the idiocy: ""Some coin-vending machines for soft drinks have ""white"" and ""colored"" slots.""",ethnicity
"“@tayyoung_: FUCK OBAMA, dumb ass nigger” Stupid cunt Number One.",ethnicity
"BAN: lightatenear, Racial Slur, 64 Slot , f8ed2692cbebd4a8ccaa855703cb3382, 65.189.26.218:3659, ""MAN FUCK YOU YOU DUMB ASS NIGGER I JUST ...",ethnicity
http://t.co/VyZeWBzBuF,ethnicity
"In other words #katandandre, your food was crapilicious! #mkr",not_cyberbullying
Why is #aussietv so white? #MKR #theblock #ImACelebrityAU #today #sunrise #studio10 #Neighbours #WonderlandTen #etc,not_cyberbullying
@XochitlSuckkks a classy whore? Or more red velvet cupcakes?,not_cyberbullying
"@Jason_Gio meh. :P  thanks for the heads up, but not too concerned about another angry dude on twitter.",not_cyberbullying
"@RudhoeEnglish This is an ISIS account pretending to be a Kurdish account.  Like Islam, it is all lies.",not_cyberbullying
"@Raja5aab @Quickieleaks Yes, the test of god is that good or bad or indifferent or weird or whatever, it all proves gods existence.",not_cyberbullying
Itu sekolah ya bukan tempat bully! Ga jauh kaya neraka,not_cyberbullying
Karma. I hope it bites Kat on the butt. She is just nasty. #mkr,not_cyberbullying
@stockputout everything but mostly my priest,not_cyberbullying
Rebecca Black Drops Out of School Due to Bullying:,not_cyberbullying
@Jord_Is_Dead http://t.co/UsQInYW5Gn,not_cyberbullying
The Bully flushes on KD http://twitvid.com/A2TNP,not_cyberbullying
Ughhhh #MKR,not_cyberbullying
RT @Kurdsnews: Turkish state has killed 241 children in last 11 years http://t.co/JlvkE1epws  #news  ##GoogleÇeviriciTopluluğuKürtçeyideE…,not_cyberbullying
"Love that the best response to the hotcakes they managed to film was a non-committal ""meh"" from some adolescent. #MKR",not_cyberbullying
@yasmimcaci @Bferrarii PAREM DE FAZER BULLYING COMIGO =( UHAHUAH BANDO DE PRETO,not_cyberbullying
"@sarinhacoral @Victor_Maggi tadinhu de mim , sofrendo bulling viu MIMI'",not_cyberbullying
@0xabad1dea @kelseytheodore2 twitter is basically the angry letters of our generation.,not_cyberbullying
"Best pick up line? Hi, you're cute... ?: I love how people call James Potter is a bully. - mypatronusisyou: http://tumblr.com/xol3xl14zy",not_cyberbullying
Now I gotta walk to classss?! I officially hate the stupid bus system! -_-,not_cyberbullying
@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I know Saudis chased girls into a burning building. http://t.co/8b1AclczN9,not_cyberbullying
Kids Love😘❤ @ Mohamad Bin Zayed City مدينة محمد بن زايد http://t.co/0xrOZSNn,not_cyberbullying
"I still have Jack, Amsterdam, Ciroc, Crown, Bud Light, Lime-a-rita, and CRU in my love handles. I feel the jiggle when I walk...",not_cyberbullying
"@scottyswaggod men are the ones that are going to push the real change. they are the ones in power, generally. we need their help.",not_cyberbullying
Wishing my arena partner was on. &gt;.&gt;  Really want to get some PvP happening.,not_cyberbullying
Education Nation: Bullying | Turn to 10 http://t.co/sxTIWtp,not_cyberbullying
@sand_dejesus Isso é bullying! @O_Patriarca,not_cyberbullying
@gcarothers eek. i can't stand split keyboards. doesn't work well with MMOs.,not_cyberbullying
@MaxBlumenthal @cpassevant @anadumitrescu13 Post-Hebdo? LOL. Events like it are a daily occurrence around the world. Why isolate one.,not_cyberbullying
You know there are people out there who like @joeyBADASS_ but don't listen to old school.,not_cyberbullying
@Firebomb173 @ANDAASONSAN not the first time it's happened. That was probably the worst though.,not_cyberbullying
@KamilaaRudenko how are u ?,not_cyberbullying
"The contact form on the site was bugged. Turns out that if you use a ']' in the email subject prefix, it breaks everything. silly wordpress.",not_cyberbullying
"The thing about Uber is, even if it wasn't a horrible, sexist, shitty company, I would still be against it.",not_cyberbullying
I think @bxokrissy third period teacher doesn't like me he always tells me to go to class when I walk u to class,not_cyberbullying
@andythewookie1 what's that quote about jacking off with one hand and pointing with the other?,not_cyberbullying
"I hope this round humbled the girls, they can't cook #MKR",not_cyberbullying
@MelissaRyan Look at what DC Public Schools are doing for bullying LGBT students now that @m_rhee is gone. http://t.co/ZegLmS7,not_cyberbullying
Really miss my classmates n schoolmates. See you all soon people,not_cyberbullying
Fuck. #MKR,not_cyberbullying
#mkr Promo girls are going to BRING IT in the next round. Yeah! Bring it! Bring your store bought capsicums!,not_cyberbullying
Hey Ma in the orange skirt,not_cyberbullying
Fuck this paper bullshit,not_cyberbullying
Elephants??? Direct them to #cuntandandre,not_cyberbullying
Film ini salah satu potret bullying dikalangan anak2 #mynameiskhan,not_cyberbullying
#NowWatching a Charlie Brown Thanksgiving #classic,not_cyberbullying
Let's talk about what it means to be a victim. http://t.co/FInA7zfTTT,not_cyberbullying
"@MileyCyrus @JuliaAllynn no, you are ahhhhhmazing! &lt;3",not_cyberbullying
"@janaane poise, odiei aquilo ele sofria bullying de meninas porisso matou muitas meninas, mais mesmo assim aquelas crianças nao tinham culpa",not_cyberbullying
no one ever help.me like my bully @AlwaysVero_ did /:,not_cyberbullying
"@Giia_marengo le hace bulling a @Karol__Dance por que se ""gana"" en todos lados jajajaj y dice que los washiturros NO son flaites jajaj WENA",not_cyberbullying
#Kerala RTE will lead to shutting down of 'Badal' schools in backward areas &amp; parents will mostly not allow them to join far away schools.,not_cyberbullying
"If you are feeling perturbed about women that aren't humble, kindly go set yourself on fire.",not_cyberbullying
You look like a gypsy. Sorry I'm not sorry.,not_cyberbullying
"Oh hey, you should be ashamed of your disgusting self. @TheMajesticPlum http://t.co/B4obsliTUg",not_cyberbullying
BULLSHIT!!!! #MKR #MKR2015,not_cyberbullying
"@hayhenning good news, if i ever have a problem with a big mean bully, i know who to call!",not_cyberbullying
I'm done - won't bother with the rest of this pathetic shit show #mkr,not_cyberbullying
"@GlennF @Spacekatgal it is rather funny how all of us are so completely different, yet complement each other's skill sets so well.",not_cyberbullying
"@sbrew11 If you hadn't noticed, I save my witty replies for sexists with a little more panache. I don't want to get above your reading level",not_cyberbullying
"@nader_haq @MadDr11 Yeap, breeding and violence are the only thing they do well.",not_cyberbullying
@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime A. I don't have a faith. B. Your tweet is incoherent.,not_cyberbullying
Lil bro @Mackmanee_15 was on the bully last night,not_cyberbullying
@Bahai144 ROFLMAO.  So all this time I've been trying to squeeze logic out of a religious nut that is as crazy as ISIS.,not_cyberbullying
"@jaredchase i kept being the last person alive AND topping damage. it's like, what. this isn't hard.",not_cyberbullying
Follow News Reports Of #BrandonMcInerney Shooting Death Of #LarryKing Trial http://t.co/WgrutwF #Gay #GLBT #LGBT #Bullying #Murder,not_cyberbullying
"@CarSalesBossMan Unlike men, who can't fix cars because they can't fit their giant fucking swelled heads under them.",not_cyberbullying
RT @Hanar_Marouf: Daesh is distrbuting Stolen U.N. Humanitarian Aid W/ Its Own Logo!! #Iraq #twitterkurds http://t.co/kSkGLrh1jt http://t.c…,not_cyberbullying
@TURBOCUNT i have no idea what red bean tastes like. i'm assuming it tastes like beans? i'm not really down with beans.,not_cyberbullying
Wait so are we voting again when we come back to school ?,not_cyberbullying
The worst hoe is a hoe who can't admit she was a hoe.!,not_cyberbullying
"RT @srhbutts: CEO of sony europe vehemently, unequivocally condemns #gamergate as misogynistic harassment. http://t.co/0M07MuT5AY",not_cyberbullying
even alle bully beatdown afleveringen gedownload van season 1 en 2 :),not_cyberbullying
"How can you sleep with make-up? Like ew, your skin will be so oily the next day.",not_cyberbullying
freaky ass ready ass hoes,not_cyberbullying
@jukes303 The old oil cliche again. The US pays for every drop of oil they get from the ME on the open market just like every other country.,not_cyberbullying
Is Colin hot? #MKR,not_cyberbullying
aposto que vou sofrer bullying depois do meu próximo tweet,not_cyberbullying
RT @BliggiVee: Round and round we go where it stops nobody knows. How much more will this drag on?!? #MKR,not_cyberbullying
First social test of the year...,not_cyberbullying
@iMrBarfield it starts Thursday. My classes are canceled for tomorrow tho😌.,not_cyberbullying
Me my self and I,not_cyberbullying
"The only thing Facebook does well, is cause shit and promote cyber bullying.",not_cyberbullying
Frio é bullying contra os solteiros..,not_cyberbullying
› Meninos do Tumblr são assim: › › Meninas do Tumblr são assim: › › E eu sou assim: › › Isso é bullying. http://t.co/dr0Yql4,not_cyberbullying
"@AMohedin Even Pickthall, who is an Englishman, was a Muslim convert.",not_cyberbullying
@daimau5 Your boy gianluca toni was class another big 6ft 5 lunk,not_cyberbullying
"Mum; You need a college bad not a handbag. Me; But mommmmmmm, it's phinkkk :&lt;",not_cyberbullying
"serio, falsidade é bullying",not_cyberbullying
I really wish i could graduate already and go to college to get away from my siblings.... Sick of all of this!!!!!!!,not_cyberbullying
I knew Nikki reminded me of someone. #mkr http://t.co/yWjMAyphJm,not_cyberbullying
Best Bully Sticks Spotlight on a Breed: We Honor Maddie the American Eskimo: We always love getting emails from ... http://bit.ly/rlUS4m,not_cyberbullying
COLÉGIOS ADVENTISTAS DE SÃO PAULO DISCUTEM O BULLYING - BOM DIA SÃO PAULO http://t.co/YyfPou0,not_cyberbullying
pratico bullying para ser aceito socialmente,not_cyberbullying
@Kaya786 @fai3an_H And I don't walk in circles around a black meteor in Mecca under the delusion that it will please god.,not_cyberbullying
@RealandIllusory = ranting idiot.,not_cyberbullying
"@AAlwuhaib1977 I know hundreds of Christians, but not a single one that fits the discription.",not_cyberbullying
She a pussy Hoe till I get the Pussy HOE!,not_cyberbullying
"@diandrasallini Claro que nao, mas ela pode falar kkkkkkk, agora tudo é bullying kkk",not_cyberbullying
"RT @Emoroffle: @freebsdgirl Gotta love that ""We determine the good feminists, and it's men"" mentality that GG has. Zero self-awareness.",not_cyberbullying
@mirebotan84 @RamiAlLolah I support that. I don't like people like Rami who complain about the things he supports when done to others.,not_cyberbullying
#SelfDefense The Best Martial Art for stopping Bullying http://t.co/cQajVOl,not_cyberbullying
@_jearbear__ @kv3rch he swore the ravens were gonna whoop our ass.. Jj watt is gonna destroy that o-line lol,not_cyberbullying
@edgeofthesandbx @batchelorshow @FearDept And there have been dozens of witnesses who have seen the Russians target civilians for propaganda,not_cyberbullying
RT @peteevansnot: Seriously why wouldn't you feed #paleo formula to your newborns with TWENTY TIMES the vitamin A of breastmilk? #mkr http:…,not_cyberbullying
"Anti-bullying workshop offers parents practical, legal solutions: With 30 percent of students nationwide being h... http://t.co/xjkhms6",not_cyberbullying
"If your benchmark for success is Team Greek next door, then you're always going to be feeling confident. #MKR",not_cyberbullying
Yo. Who do I know at @pagerduty? I can never recall names + employers.,not_cyberbullying
RT @TVWEEKmag: #katandandre might have to eat her words after receiving some not so great feedback on their ham and gruyere dish. #MKR #tvw…,not_cyberbullying
"White dude wins the Nobel for lit again, shocking, next you'll tell me his novels speak to a universal human experience",not_cyberbullying
@normaojeda000 yupperz!! Why?,not_cyberbullying
"@GiacomoBert8008 Honestly, WHAT",not_cyberbullying
You know...kudos to #MKR for being able to stretch out a show....over a month onto the show and we still dont have final teams...,not_cyberbullying
"@Llydisblur people seem to have a really warped view of what republican even means, lately. party lines have majorly shifted. :\",not_cyberbullying
RT @brownlee_dr: #Yazidi #girls tell of escape from #IS http://t.co/6FVwGLCP24,not_cyberbullying
@MacaLofish_UC  oajoajoajajo creo que todos me hacen bullying porr no tomar ojaojaojaoajoajoja,not_cyberbullying
Lolol that boy is whipped AF,not_cyberbullying
@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!! This is still the early bird special. #ComeAtMeUT,not_cyberbullying
The girls need to learn how to churn #MKR,not_cyberbullying
Stick to your day jobs girls #MKR,not_cyberbullying
How are You? @edcrossfineart We are well...,not_cyberbullying
@ugobananas OBVIOUSLY,not_cyberbullying
That's crap Lynn and Tony should have stayed #MKR,not_cyberbullying
I GUESS I NEED YOU BABYY~,not_cyberbullying
@yuskan0723 Just as I thought.  There is no evidence of intentionally targeting children. And it's not even certain it was an Israeli boat.,not_cyberbullying
"@LynnMagic turning it into a block list could be pretty rad, too. ;)",not_cyberbullying
"Sure is Monday! Up at 4am for work, the boss is in a bad mood, he messed up my schedule, and our DC driver ran into our dumpster!",not_cyberbullying
#MKR my guess. bottom 2 teams from each round are going back into instant restaurants. Just saying.,not_cyberbullying
"@Lovemycoffeetoo @hidden_horcrux there were 4 top teams, 1 from ea round, &amp; didn't #AdamAndCarol  top their round &amp; are also safe? #mkr",not_cyberbullying
When someone gets bitten by a rabid dog and has to get six inch needles in the belly be there to say NOT ALL DOGS #notalleverything,not_cyberbullying
@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime There is no ongoing endless occupation anywhere.,not_cyberbullying
"Minnesota gay teens bullied by adults, peers, say activists (Reuters): Reuters – Barb Schroeder knew about her s... http://t.co/ujqd9K2",not_cyberbullying
"And a 7 for ""smear of lemon tart""??? #MKR",not_cyberbullying
"@Censored31 @rupertmurdoch I don't have a religion, microbrain.  Have you found what hole that coward Baghdadi crawled into at Gwer?",not_cyberbullying
@Assiye61 @MaxBlumenthal The Quran.,not_cyberbullying
mmmm #MKR Forget Deconstruction @lisamromano @garydlum @mattsparks88 THIS is Lemon Tart 🍋🍋🍋 mmmm http://t.co/iiLigXbbzw,not_cyberbullying
Pretty sure they're hiding any ability to actually cook.,not_cyberbullying
im@s: takes 20 hours to download,not_cyberbullying
"Walked out of the shelter with no puppy, but now I have a date. Uh. Success has many definitions.",not_cyberbullying
Today i just did not want to get up. Am dragging myself to college.,not_cyberbullying
"@DNas shyt iono.. i got hella shyt.. esp rockstar.. off the top of my head, the gta's..bully..re4..PrinceOfPersias..TwistedMetalBlack..etc",not_cyberbullying
To the extreme I rock a mic like a vandal,not_cyberbullying
"RT @nrrrdcore: At the very least, questions will be raised. And we now understand that women in our industry must choose between incompeten…",not_cyberbullying
"I'm much happier as a financially secure adult than as a kid in a paycheck to paycheck household (and I had great parents, just no $$$)",not_cyberbullying
RT @mykitchenrules: Nawwww 😭😭😭 #MKR,not_cyberbullying
Annie &amp; Loyd,not_cyberbullying
@chris_gray91 no I'm keeping that for later trackies and a tshirt on #LuckyNooneCanSeeMe :( ha x,not_cyberbullying
"The current system is inadequate. Some of us are experienced at navigating these pitfalls, and we can help you.",not_cyberbullying
"@RichardDawkins As a child, my parents sent us to Sunday School but I think it was so they had time on their own.I can forgive them for that",not_cyberbullying
When is the drag show ? #ECU,not_cyberbullying
Bullying : Quando você esta no onibus e tem um lugar vago no seu lado e as pessoas preferem ficar em pé,not_cyberbullying
@justinbieber Your How I Get Through Bullying And Tough Times Thinking Of You & How You Got Through It Makes Me See A Light At The End NSN♥,not_cyberbullying
@buellerishere I've watched the ISIS guys argue with Saudi Muslim scholars here on twitter. The scholars always loose.,not_cyberbullying
@onebrightlight i've been talking to 2 employees and i heard about a lot of the internal politics re: GG. it's enough to make me stay.,not_cyberbullying
@xoxoMs_smith never ever serve a nigga where you sleep at police be at ya door and nigga you ain't tryna see that,not_cyberbullying
"@Censored31 @islamic_john Good, that trash should be mocked by the world.",not_cyberbullying
"Oh my gosh they played ""Ready to Run"" on #MKR tonight!! I was soo happy!!",not_cyberbullying
Heidi that's no argument! Not everyone who was bullied feels the need to get a nose job and eyelid surgery #InsightSBS,not_cyberbullying
Anyone went to church services this morning?  Does your little one stay with you or go to a nursery or Sunday School class?,not_cyberbullying
this has been the longest most uneventful weekend of my life. I feel like I just came from a vacation break.,not_cyberbullying
ITS BEAUTIFULLLLLLL :'( :'( :'( :'(,not_cyberbullying
"@RexMundane @gamerfortruth @a_man_in_black i'm not 100% sure where it started, but it's not going anywhere good.",not_cyberbullying
RT @NewIdeamagazine: Just when they thought it was safe to go back into the kitchen... Instant restaurant redemption round! #mkr,not_cyberbullying
@LifeInKhilafah LOL. YPG and Pesh are showing videos of truckloads of Daesh bodies. I'm still waiting for the big event you promised.,not_cyberbullying
Being a Bully Dont Make You Cool,not_cyberbullying
"@discerningmumin But regardless, ISIS will be completely defeated. I guarantee it. They are too technologically backward to win a modern war",not_cyberbullying
@RodGarraud @conivergara perdoname :( no puedo vivir sin hacer bullying es parte de mi! jajajajaja,not_cyberbullying
Video: Kevin Durant Gets Flushed On By Geoff Aka Big Bully At Dyckman! http://t.co/b0zyxeQ via @worldstar,not_cyberbullying
"@_MacaAlejandra @xsiempreJcyFer @camiiHidalgo_ Oigan , me Siento discriminada :'c me hacen Bulling aaaag* Las Denunciare xd",not_cyberbullying
#reasonifailatbeingagirl would much prefer to watch Cowboy Bebop than Made in Chelsea,not_cyberbullying
@LifeInKhilafah ROFL.  Where is Kobani in the picture? Answer - they have lost it.,not_cyberbullying
"@1Life0Continues i've got the code to interpret &amp; analyze, but the weights themselves are going to take a lot of fiddling.",not_cyberbullying
"Dou um empurrão em uma pessoa, isso se chama : - › empurrão. › › SOCIEDADE: bullying! http://tumblr.com/xun3xycfun",not_cyberbullying
#simpleasthat,not_cyberbullying
Me and @LaDyMavV11 stay on instagram and twitter in this class!!,not_cyberbullying
RT @jurijuri: @freebsdgirl It's like Total Recall but with only two breasts. MAYBE.,not_cyberbullying
"Curious - so, for the rest of the (non bay area) country - is it normal to see a tweet make news?",not_cyberbullying
@girlziplocked jfc.,not_cyberbullying
@classic_KZ @kevin_kohout @sbroph93 @BillDollarton @inSpector_Drew Todays the day maafucks! #readytorage,not_cyberbullying
@Blaq_Kocaine I'll have to check when I go home,not_cyberbullying
Lets hear it for a short work/school week!!!,not_cyberbullying
@yhdjgdjhyghghgj Thanks. I'm glad that all the genocidal Daesh slavers were cleared out.,not_cyberbullying
Pete eating... #mkr http://t.co/3wcIykPqX3,not_cyberbullying
@emily_esque I would love that. would you mind DMing me your email address? can shoot you an email later today.,not_cyberbullying
@GetEmEasy that don't make u a hater..if u said u didn't think it was good u would be a hater..I think it's classic tho..to each his own.,not_cyberbullying
Caller wanted MIKE's opinion if they r liable.,not_cyberbullying
"@doofsmack @wadhwa YUP. incidentally, I know the editor. She's a woman, a gamer, and in tech. It's all factual info.",not_cyberbullying
This person thinks that ~6 people tweeting at them for being a sealioning ass is the worst thing in the world.,not_cyberbullying
"@Like_Nino remember the girl that was passed out in that wet spot, and I was like ""is that pee..or liquor?"" She was behind us in the corner",not_cyberbullying
#face #hope #bullying http://t.co/taLCQMj,not_cyberbullying
RT @mcRelyt: @MT8_9 We have bucookie? http://t.co/Iai78l6KCV,not_cyberbullying
"@joanneleon @ChristophHeer52 First, Bandera fought for Nazis, but he was also in a Nazi prison.",not_cyberbullying
"Have 2 team members, sticking with this for now. Thanks, everyone. ^.^",not_cyberbullying
@rileysomething I'm not adverse to putting boots on the ground at Raqqa and letting our boys kill ISIS through a scope sight.,not_cyberbullying
"Yep, me too RT@gregbugden @smh @janecaro I always like her public school affirmations too",not_cyberbullying
"@DaveGreene11 And I'm sure you sew all the tiny stitches on your own clothes, not underpaid women overseas.",not_cyberbullying
@caitbit BLACKMILK IS AMAZING. have you seen them before?,not_cyberbullying
FUCKIN' SEE YA @Ztd619Dupuis,not_cyberbullying
So I see channel 7 have found another way to drag #MKR out for an extra few months this year,not_cyberbullying
The perfect seat in class would be one where you are surrounded by your best friend and your crush.,not_cyberbullying
RT @Everestedup: Omg double elimination?! #MKR,not_cyberbullying
@CarlyandTresne: I still can't believe that Katie and Nikki are out! Seriously... (Oops prob shouldn't say that) #mkr  totes awkward lol,not_cyberbullying
@AyeOkay89 shittiest day of the week #Monday,not_cyberbullying
There's one player on this pitch who's just a class above. Juan Mata. #supersunday,not_cyberbullying
"RT @RichardDawkins: Watching ""India's Daughter"", horrifying. Lawyer defending rapists: ""We have the best culture. In our culture there's no…",not_cyberbullying
"I hope their cooking shows through the next round. I mean, they have to plate it up right? All their (lacking) skills. #MKR",not_cyberbullying
Wow...I feel so sorry for Colin having to eat what those 2 are serving! #MKR #MKR2015 #vomit,not_cyberbullying
"@milfgaardian N'rage pink after ~1 week, turquoise is a mix of special fx. Nrage pink holds very well. http://t.co/MqX0jZSIlP",not_cyberbullying
"Michelle ( Heartless Bitch) Bachman WON'T Sign Anti-bullying law Cause She Doesn't want 2 ""turn boys in2 girls"" WTF ?@ChrisLarson82",not_cyberbullying
"@Ammaawah @jm111t Yeah, it says that men can beat women.  So what is your point?",not_cyberbullying
What's better than college basketball?,not_cyberbullying
"Bullying linked to decreases in GPA, longer lasting negative psychological effects, and obesity. More evidence... http://t.co/UCdxYcj",not_cyberbullying
"Old school, Degrassi&gt;&gt;&gt;&gt;&gt; #ThatsMyShit",not_cyberbullying
"Gonna cry in a minute, I can't fucking cope with maths",not_cyberbullying
STOP LYING @XaiaX,not_cyberbullying
@petechesbot @tmclaughbos APPARENTLY NOT,not_cyberbullying
RT @GidgitVonLaRue: #MKR France Vs Ireland Vs Paleo Pete...LETS RUMBLE!,not_cyberbullying
tbh rooting for jane and emma bc we have that lawyer bond #opposites #mkr,not_cyberbullying
#theawkwardmoment when you make a status on facebook saying you hate bullies then a bully likes it.,not_cyberbullying
@Paigey_x hahaha we will see #doubtful,not_cyberbullying
RT @girlziplocked: WTF @onthemedia @tldr? Man gets upset that women in tech are upset that said man silences women. So you take it down? ht…,not_cyberbullying
This is just ridiculous. #mkr Another 7 FFS.,not_cyberbullying
@UnitePink my apt complex turns away all packages ❤️,not_cyberbullying
the fact that there are 4958239689587 cute boys in the world and 0% go to my school i am sick of this shit,not_cyberbullying
RT @barbara_volkwyn: Islamic State Resupply Route Extended to 400 km After Peshmerga Take #Mosul– #Sinjar Road  http://t.co/bvrcRNAn1w #ISI…,not_cyberbullying
@_alianicole i kno a play where u i was always the bully n champion !!  ooowwwww,not_cyberbullying
Justiça Estadual informa que bullying escolar será caso de Polícia em Cuiabá http://t.co/66xzSz8,not_cyberbullying
@EvvyKube not sure.,not_cyberbullying
"@Saeed6Ali @MaxBlumenthal @DaraDeBrun Since the slug is closer to your IQ, I can understand the fascination.",not_cyberbullying
@ShariRomine @emaleroland @dehneh1   Got it!  I'm learning.,not_cyberbullying
"@drlovegrove right?! I can't stop singing it, and I'm only 18..",not_cyberbullying
Ubisoft's attempts at pushing Uplay is rage-inducing.,not_cyberbullying
@TURBOCUNT they have some crazy flavors. wasabi? red bean?,not_cyberbullying
Twitter makes me laugh....Better than the series ;)))))) Very funny 👏👏👏👏👏  #MKR,not_cyberbullying
Did you say Ninjas???!,not_cyberbullying
@ErikaLopezDurel Definitions mean jack.  Actions do.,not_cyberbullying
#mkr those carrots look overdone,not_cyberbullying
@PoliticalAnt @Lithobolos And of course I would also fight against any theocracy - regardless of religion.,not_cyberbullying
Espero que ele fique bem! E que isso sirva de exemplo para todos ficarem em alerta em relação as práticas de bullying... o quanto é perigoso,not_cyberbullying
K! Now I see why coaches get mad when the players go out late at night. #Exhausted,not_cyberbullying
@GemmaBurnsX @_georgepumphrey my iphone is fucked it doesn't come up properly!,not_cyberbullying
@tpw_rules nothings broken. I was just driving througg a lot of water.,not_cyberbullying
"Not really feelin social for Xmas parties but just realized I don't have to deal with people saying""You're not done w school YET?"" this yr!",not_cyberbullying
YES. I LOVE @lenadunham. http://t.co/ycgTBmmdxb,not_cyberbullying
One of our strongest tools in stopping violence against women is public shame of the abuser and public support of the victim.,not_cyberbullying
Wish I was with my buddies @ALLLiiXXX and @paiwai in Staunton rather than this terrible driving class! I'm not even a bad driver #granny,not_cyberbullying
"@SSTwinrova I'm still at the stage where I've given up on finding a good task list mgt app that fits with my workflow, so I use a notepad.",not_cyberbullying
#MKR time. Have a feeling that the remote may go through the TV over the next hour with these two clowns.,not_cyberbullying
"@_joannedelacruz Oh, so I watched the wrong film first. haha that's why! :) I'll download it now hehe thanks!",not_cyberbullying
My review of Kindle Voyage: a resounding 'meh',not_cyberbullying
